horse_id,sire,dam,bms
2016103884,ベルシャザール,ノードラメール,ロックオブジブラルタル
2020101533,ルーラーシップ,アユサン,ディープインパクト
2019101612,ディープインパクト,カラズマッチポイントKara's Match Point(米),Curlin(米)
2020104297,キタサンブラック,オメガリトルスター,ジャングルポケット
2020103048,キズナ,ホワイトローズIIWhite Rose(米),Tapit(米)
2020101697,キズナ,エルミラドール,ジャングルポケット
2018104477,ドゥラメンテ,スターズインハーアイズStars In Her Eyes(愛),Woodman
2020105652,キズナ,ラトナプラ,Distorted Humor(米)
2020100678,モーリス,シャブリ,ディープインパクト
2020100177,ロードカナロア,ワイルドココ,Shirocco
2020103129,ハービンジャーHarbinger(英),ワントゥワン,ディープインパクト
2020100681,ハーツクライ,スカイノダン,サクラバクシンオー
2019105191,キタサンブラック,コナブリュワーズ,キングカメハメハ
2019104558,ディープブリランテ,シルクユニバーサル,ブライアンズタイムBrian's Time(米)
2020100052,シルバーステート,ヴァナディース,ロックオブジブラルタル
2020106661,サトノダイヤモンド,ツインテール,Tale of the Cat(米)
2020104224,キンシャサノキセキ,ニホンピロタルト,オペラハウスOpera House(英)
2019105322,ハーツクライ,ドバイマジェスティDubai Majesty(米),Essence of Dubai
2019103659,キズナ,スマッシュハート,キングカメハメハ
2021101930,シャンハイボビーShanghai Bobby(米),ヤサカオディール,メイショウボーラー
2021104362,アジアエクスプレス,ガンセ,クロフネ
2021109094,ジョーカプチーノ,ワンダフルキッス,ゴールドプルーフ
2021102087,エスポワールシチー,タママリア,キングヘイロー
2021102671,エスポワールシチー,イナーシャ,Hard Spun(米)
2021101906,イスラボニータ,ゲイエティ,タニノギムレット
2021103549,エイシンフラッシュ,ユメノキズナ,ストラヴィンスキー
2021103370,アドマイヤムーン,タイキノワール,グラスワンダー
2021101306,カレンブラックヒル,フクノグローリア,ブライアンズタイムBrian's Time(米)
2021106841,スクリーンヒーロー,フロムマイハート,ハーツクライ
2021106009,ニシケンモノノフ,マキノルーチェ,スターリングローズ
2021100202,ビーチパトロールBeach Patrol(米),レディピアレス,Point Given(米)
2021103605,カリフォルニアクロームCalifornia Chrome(米),マンボビーン,スズカマンボ
2021101820,エピカリス,クリームヒルト,ノヴェリストNovellist(愛)
2021100263,コパノリッキー,カルディア,ゼンノロブロイ
2021107392,モンテロッソMonterosso(英),ローブディアンジェ,ネオユニヴァース
2021105264,マインドユアビスケッツMind Your Biscuits(米),ラブリネスオブパリ,サンデーサイレンスSunday Silence(米)
2021104777,ダイワメジャー,ハニージェイド,Harlan's Holiday
2021100886,リアルインパクト,ヒシタイトル,キングカメハメハ
2021102219,ダノンレジェンド,コパノビジン,ゴールドアリュール
2021105058,キズナ,シアードラマSheer Drama(米),Burning Roma
2021101204,コパノリッキー,ショウリノウタゲ,プリサイスエンドPrecise End(米)
2021104969,ロゴタイプ,ヴェルメンティーノ,ダイワメジャー
